
testcases/common/oncoming-trick.xml
timestamp,# collisions,agent 0 path length,agent 0 effort,agent 0 get target,agent 1 path length,agent 1 effort,agent 1get target,
0,,0;0.00544341,false,0;0.00544341,false,
0.00166667,,0.00167932;0.0108724,false,0.00167945;0.0108724,false,
0.00333333,,0.00348201;0.0162882,false,0.00348208;0.0162882,false,
0.005,,0.00535114;0.0216919,false,0.0053515;0.0216919,false,
0.00666667,,0.00724939;0.0270845,false,0.00724975;0.0270845,false,
0.00833333,,0.00915753;0.0324673,false,0.00915779;0.0324673,false,
0.01,,0.011056;0.0378289,false,0.0110562;0.0378289,false,
0.0116667,,0.0129449;0.0431787,false,0.0129449;0.0431787,false,
0.0133333,,0.0148252;0.0485186,false,0.0148254;0.0485186,false,
0.015,,0.0166958;0.0538521,false,0.016696;0.0538521,false,
0.0166667,,0.0185548;0.0591852,false,0.0185551;0.0591852,false,
0.0183333,,0.0204015;0.0645195,false,0.020402;0.0645195,false,
0.02,,0.0222362;0.0698563,false,0.0222368;0.0698563,false,
0.0216667,,0.0240595;0.0751968,false,0.0240601;0.0751968,false,
0.0233333,,0.0258204;0.0806422,false,0.0258209;0.0806422,false,
0.025,,0.0273905;0.0861185,false,0.0273912;0.0861186,false,
0.0266667,,0.0289787;0.091551,false,0.0289794;0.0915511,false,
0.0283333,,0.0305813;0.0969851,false,0.0305821;0.0969852,false,
0.03,,0.0321862;0.102411,false,0.032187;0.102411,false,
0.0316667,,0.0337942;0.107835,false,0.0337947;0.107835,false,
0.0333333,,0.0354039;0.113256,false,0.0354044;0.113256,false,
0.035,,0.0370134;0.118676,false,0.0370141;0.118676,false,
0.0366667,,0.038622;0.124095,false,0.0386228;0.124095,false,
0.0383333,,0.0402286;0.129514,false,0.0402294;0.129514,false,
0.04,,0.0418331;0.134931,false,0.0418339;0.134932,false,
0.0416667,,0.0434349;0.140349,false,0.0434356;0.140349,false,
0.0433333,,0.0450337;0.145765,false,0.0450348;0.145766,false,
0.045,,0.0466297;0.151181,false,0.0466302;0.151181,false,
0.0466667,,0.0482229;0.156595,false,0.0482233;0.156596,false,
0.0483333,,0.0498135;0.162008,false,0.0498138;0.162009,false,
0.05,,0.0514014;0.167419,false,0.0514017;0.16742,false,
0.0516667,,0.052987;0.172829,false,0.0529876;0.17283,false,
0.0533333,,0.0545706;0.178236,false,0.054571;0.178237,false,
0.055,,0.0561522;0.183641,false,0.0561528;0.183642,false,
0.0566667,,0.0577322;0.189044,false,0.0577334;0.189045,false,
0.0583333,,0.0593108;0.194445,false,0.0593115;0.194446,false,
0.06,,0.0608881;0.199842,false,0.0608885;0.199843,false,
0.0616667,,0.0624643;0.205237,false,0.0624647;0.205238,false,
0.0633333,,0.0640398;0.210629,false,0.0640399;0.21063,false,
0.065,,0.0656145;0.216018,false,0.0656144;0.216019,false,
0.0666667,,0.0671887;0.221404,false,0.0671884;0.221405,false,
0.0683333,,0.0687624;0.226787,false,0.0687618;0.226788,false,
0.07,,0.0703358;0.232166,false,0.0703358;0.232167,false,
0.0716667,,0.0719089;0.237543,false,0.0719087;0.237544,false,
0.0733333,,0.0734819;0.242916,false,0.0734822;0.242917,false,
0.075,,0.0750545;0.248287,false,0.0750551;0.248288,false,
0.0766667,,0.0766272;0.253654,false,0.0766279;0.253655,false,
0.0783333,,0.0781997;0.259018,false,0.0782007;0.259019,false,
0.08,,0.0797722;0.264378,false,0.0797735;0.264379,false,
0.0816667,,0.0813445;0.269736,false,0.081346;0.269737,false,
0.0833333,,0.0829169;0.27509,false,0.0829184;0.275091,false,
0.085,,0.084489;0.280441,false,0.0844908;0.280442,false,
0.0866667,,0.086061;0.285789,false,0.0860631;0.285791,false,
0.0883333,,0.0876328;0.291134,false,0.0876345;0.291135,false,
0.09,,0.0892044;0.296476,false,0.089206;0.296477,false,
0.0916667,,0.0907758;0.301814,false,0.0907769;0.301815,false,
0.0933333,,0.092347;0.307149,false,0.0923478;0.307151,false,
0.095,,0.0939178;0.312481,false,0.0939187;0.312483,false,
0.0966667,,0.0954883;0.31781,false,0.0954895;0.317811,false,
0.0983333,,0.0970583;0.323136,false,0.0970591;0.323137,false,
0.1,,0.0986278;0.328458,false,0.0986286;0.328459,false,
0.101667,,0.100197;0.333777,false,0.100198;0.333778,false,
0.103333,,0.101765;0.339093,false,0.101766;0.339094,false,
0.105,,0.103333;0.344405,false,0.103334;0.344406,false,
0.106667,,0.1049;0.349714,false,0.104901;0.349715,false,
0.108333,,0.106467;0.355019,false,0.106467;0.35502,false,
0.11,,0.108033;0.360321,false,0.108033;0.360323,false,
0.111667,,0.109598;0.36562,false,0.109598;0.365621,false,
0.113333,,0.111162;0.370915,false,0.111162;0.370916,false,
0.115,,0.112726;0.376207,false,0.112726;0.376208,false,
0.116667,,0.114288;0.381495,false,0.114289;0.381496,false,
0.118333,,0.11585;0.386779,false,0.11585;0.38678,false,
0.12,,0.117411;0.39206,false,0.117411;0.392061,false,
0.121667,,0.11897;0.397337,false,0.118971;0.397338,false,
0.123333,,0.120529;0.40261,false,0.120529;0.402611,false,
0.125,,0.122087;0.407879,false,0.122087;0.40788,false,
0.126667,,0.123644;0.413145,false,0.123644;0.413146,false,
0.128333,,0.125199;0.418406,false,0.125199;0.418407,false,
0.13,,0.126754;0.423663,false,0.126754;0.423664,false,
0.131667,,0.128307;0.428917,false,0.128308;0.428917,false,
